scenario,flow_type,strategy_name,regime,seed,seed_index,quotes_submitted,quotes_canceled_or_replaced,quotes_filled,partial_fills,full_fills,fill_rate_by_quote_count,fill_rate_by_submitted_size,average_quote_lifetime,median_quote_lifetime,average_initial_queue_ahead,median_initial_queue_ahead,percent_quotes_submitted_at_best,percent_quote_lifetime_spent_at_best,external_execution_events_count,external_executed_volume,external_executed_volume_at_maker_quoted_price,maker_eligible_execution_events,maker_reached_by_execution_events,maker_missed_due_to_queue_events,maker_missed_due_to_no_opposite_flow,maker_missed_due_to_quote_not_at_touched_price,maker_missed_due_to_cancellation_or_replacement_before_execution,hard_cap_bid_blocks,hard_cap_ask_blocks
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,3002,0,1000,502,497,24,473,0.497,0.4828,6.808,10,66.725,0,0.848,0.848,1213,60806,26124,511,520,11,0,681,502,0,0
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,4002,1,1000,435,564,26,538,0.564,0.5478,6.308,8,41.145,0,0.928,0.928,1249,63958,30966,602,598,14,0,637,435,0,0
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,3001,0,1000,254,745,40,705,0.745,0.7255,5.219,5,0,0,1,1,1283,63711,38854,781,781,0,1,502,254,0,0
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,4001,1,1000,242,757,30,727,0.757,0.7426,4.975,4,0,0,1,1,1303,65187,40823,798,798,0,1,503,242,0,0
as_risk_aversion_high,hand_chosen,avellaneda stoikov,trending,3003,0,1000,450,549,32,517,0.549,0.5341,6.364,8,57.341,0,0.838,0.838,1266,62785,27568,577,570,10,0,686,450,0,0
as_risk_aversion_high,hand_chosen,avellaneda stoikov,trending,4003,1,1000,479,520,30,490,0.52,0.5056,6.651,9,77.653,0,0.823,0.823,1242,63693,27817,543,540,7,0,695,479,0,0
as_risk_aversion_high,hand_chosen,naive symmetric,high volatility,3002,0,1000,500,499,25,474,0.499,0.484,6.82,10,71.053,0,0.848,0.848,1213,60806,26328,516,521,13,0,678,500,0,0
as_risk_aversion_high,hand_chosen,naive symmetric,high volatility,4002,1,1000,441,558,25,533,0.558,0.5425,6.348,8,43.177,0,0.928,0.928,1249,63958,30591,595,592,13,0,644,441,0,0
as_risk_aversion_high,hand_chosen,naive symmetric,low volatility,3001,0,1000,254,745,40,705,0.745,0.7255,5.219,5,0,0,1,1,1283,63711,38854,781,781,0,1,502,254,0,0
as_risk_aversion_high,hand_chosen,naive symmetric,low volatility,4001,1,1000,242,757,30,727,0.757,0.7426,4.975,4,0.008,0,1,1,1303,65187,40823,798,798,0,1,503,242,0,0
as_risk_aversion_high,hand_chosen,naive symmetric,trending,3003,0,1000,453,546,32,514,0.546,0.5311,6.393,8,60.516,0,0.838,0.838,1266,62785,27737,582,567,18,0,681,453,0,0
as_risk_aversion_high,hand_chosen,naive symmetric,trending,4003,1,1000,481,518,30,488,0.518,0.5036,6.672,9,81.278,0,0.823,0.823,1242,63693,27687,541,538,9,0,695,481,0,0
as_risk_aversion_low,hand_chosen,avellaneda stoikov,high volatility,3002,0,1000,496,503,27,476,0.503,0.4878,6.795,9,72.52,0,0.848,0.848,1213,60806,26356,517,525,12,0,675,496,0,0
as_risk_aversion_low,hand_chosen,avellaneda stoikov,high volatility,4002,1,1000,438,561,26,535,0.561,0.5448,6.324,8,44.3,0,0.928,0.928,1249,63958,31038,605,596,18,0,635,438,0,0
as_risk_aversion_low,hand_chosen,avellaneda stoikov,low volatility,3001,0,1000,254,745,40,705,0.745,0.7255,5.219,5,0,0,1,1,1283,63711,38854,781,781,0,1,502,254,0,0
as_risk_aversion_low,hand_chosen,avellaneda stoikov,low volatility,4001,1,1000,242,757,30,727,0.757,0.7426,4.975,4,0,0,1,1,1303,65187,40823,798,798,0,1,503,242,0,0
as_risk_aversion_low,hand_chosen,avellaneda stoikov,trending,3003,0,1000,450,549,32,517,0.549,0.5341,6.364,8,61.012,0,0.838,0.838,1266,62785,27568,577,570,10,0,686,450,0,0
as_risk_aversion_low,hand_chosen,avellaneda stoikov,trending,4003,1,1000,479,520,30,490,0.52,0.5056,6.651,9,80.061,0,0.823,0.823,1242,63693,27817,543,540,7,0,695,479,0,0
as_risk_aversion_low,hand_chosen,naive symmetric,high volatility,3002,0,1000,500,499,25,474,0.499,0.484,6.82,10,71.053,0,0.848,0.848,1213,60806,26328,516,521,13,0,678,500,0,0
as_risk_aversion_low,hand_chosen,naive symmetric,high volatility,4002,1,1000,441,558,25,533,0.558,0.5425,6.348,8,43.177,0,0.928,0.928,1249,63958,30591,595,592,13,0,644,441,0,0
as_risk_aversion_low,hand_chosen,naive symmetric,low volatility,3001,0,1000,254,745,40,705,0.745,0.7255,5.219,5,0,0,1,1,1283,63711,38854,781,781,0,1,502,254,0,0
as_risk_aversion_low,hand_chosen,naive symmetric,low volatility,4001,1,1000,242,757,30,727,0.757,0.7426,4.975,4,0.008,0,1,1,1303,65187,40823,798,798,0,1,503,242,0,0
as_risk_aversion_low,hand_chosen,naive symmetric,trending,3003,0,1000,453,546,32,514,0.546,0.5311,6.393,8,60.516,0,0.838,0.838,1266,62785,27737,582,567,18,0,681,453,0,0
as_risk_aversion_low,hand_chosen,naive symmetric,trending,4003,1,1000,481,518,30,488,0.518,0.5036,6.672,9,81.278,0,0.823,0.823,1242,63693,27687,541,538,9,0,695,481,0,0
hand_chosen_flow,hand_chosen,avellaneda stoikov,high volatility,3002,0,1000,498,501,29,472,0.501,0.4856,6.809,9,70.134,0,0.848,0.848,1213,60806,26354,517,524,14,0,674,498,0,0
hand_chosen_flow,hand_chosen,avellaneda stoikov,high volatility,4002,1,1000,437,562,26,536,0.562,0.5458,6.322,8,45.136,0,0.928,0.928,1249,63958,31041,606,596,19,0,634,437,0,0
hand_chosen_flow,hand_chosen,avellaneda stoikov,low volatility,3001,0,1000,254,745,40,705,0.745,0.7255,5.219,5,0,0,1,1,1283,63711,38854,781,781,0,1,502,254,0,0
hand_chosen_flow,hand_chosen,avellaneda stoikov,low volatility,4001,1,1000,242,757,30,727,0.757,0.7426,4.975,4,0,0,1,1,1303,65187,40823,798,798,0,1,503,242,0,0
hand_chosen_flow,hand_chosen,avellaneda stoikov,trending,3003,0,1000,450,549,32,517,0.549,0.5341,6.364,8,59.582,0,0.838,0.838,1266,62785,27568,577,570,10,0,686,450,0,0
hand_chosen_flow,hand_chosen,avellaneda stoikov,trending,4003,1,1000,479,520,30,490,0.52,0.5056,6.651,9,79.236,0,0.823,0.823,1242,63693,27817,543,540,7,0,695,479,0,0
hand_chosen_flow,hand_chosen,naive symmetric,high volatility,3002,0,1000,500,499,25,474,0.499,0.484,6.82,10,71.053,0,0.848,0.848,1213,60806,26328,516,521,13,0,678,500,0,0
hand_chosen_flow,hand_chosen,naive symmetric,high volatility,4002,1,1000,441,558,25,533,0.558,0.5425,6.348,8,43.177,0,0.928,0.928,1249,63958,30591,595,592,13,0,644,441,0,0
hand_chosen_flow,hand_chosen,naive symmetric,low volatility,3001,0,1000,254,745,40,705,0.745,0.7255,5.219,5,0,0,1,1,1283,63711,38854,781,781,0,1,502,254,0,0
hand_chosen_flow,hand_chosen,naive symmetric,low volatility,4001,1,1000,242,757,30,727,0.757,0.7426,4.975,4,0.008,0,1,1,1303,65187,40823,798,798,0,1,503,242,0,0
hand_chosen_flow,hand_chosen,naive symmetric,trending,3003,0,1000,453,546,32,514,0.546,0.5311,6.393,8,60.516,0,0.838,0.838,1266,62785,27737,582,567,18,0,681,453,0,0
hand_chosen_flow,hand_chosen,naive symmetric,trending,4003,1,1000,481,518,30,488,0.518,0.5036,6.672,9,81.278,0,0.823,0.823,1242,63693,27687,541,538,9,0,695,481,0,0
increased_execution_intensity_10x,itch_calibrated,avellaneda stoikov,high volatility,3002,0,1000,796,203,1,202,0.203,0.2021,8.781,10,17.627,0,1,1,223,296360,272354,202,203,1,1,17,796,0,0
increased_execution_intensity_10x,itch_calibrated,avellaneda stoikov,high volatility,4002,1,1000,820,178,0,178,0.178,0.178,8.956,10,44.752,0,0.98,0.98,226,299589,233916,168,178,2,1,44,820,0,0
increased_execution_intensity_10x,itch_calibrated,avellaneda stoikov,low volatility,3001,0,1000,791,208,0,208,0.208,0.208,8.822,10,13.093,0,1,1,232,314090,275235,208,208,1,1,23,791,0,0
increased_execution_intensity_10x,itch_calibrated,avellaneda stoikov,low volatility,4001,1,1000,811,187,0,187,0.187,0.187,8.981,10,7.927,0,1,1,213,281894,242653,187,187,2,2,23,811,0,0
increased_execution_intensity_10x,itch_calibrated,avellaneda stoikov,trending,3003,0,1000,797,201,1,200,0.201,0.2001,8.906,10,10.939,0,1,1,216,277961,260198,202,202,1,2,11,797,0,0
increased_execution_intensity_10x,itch_calibrated,avellaneda stoikov,trending,4003,1,1000,828,170,1,169,0.17,0.1691,8.972,10,9.051,0,1,1,189,256261,224843,168,170,0,2,15,828,0,0
increased_execution_intensity_10x,itch_calibrated,naive symmetric,high volatility,3002,0,1000,796,203,1,202,0.203,0.2021,8.781,10,10.018,0,1,1,223,296360,271494,201,203,0,1,18,796,0,0
increased_execution_intensity_10x,itch_calibrated,naive symmetric,high volatility,4002,1,1000,823,175,0,175,0.175,0.175,8.97,10,42.778,0,0.98,0.98,226,299589,226683,164,175,2,1,47,823,0,0
increased_execution_intensity_10x,itch_calibrated,naive symmetric,low volatility,3001,0,1000,792,207,0,207,0.207,0.207,8.827,10,18.447,0,1,1,232,314090,272870,206,207,1,1,24,792,0,0
increased_execution_intensity_10x,itch_calibrated,naive symmetric,low volatility,4001,1,1000,811,187,0,187,0.187,0.187,8.981,10,10.755,0,1,1,213,281894,242653,187,187,2,2,23,811,0,0
increased_execution_intensity_10x,itch_calibrated,naive symmetric,trending,3003,0,1000,798,200,1,199,0.2,0.1991,8.915,10,13.788,0,1,1,216,277961,258310,200,201,1,2,12,798,0,0
increased_execution_intensity_10x,itch_calibrated,naive symmetric,trending,4003,1,1000,828,170,1,169,0.17,0.1691,8.972,10,6.331,0,1,1,189,256261,224843,168,170,0,2,15,828,0,0
increased_execution_intensity_2x,itch_calibrated,avellaneda stoikov,high volatility,3002,0,1000,957,41,0,41,0.041,0.041,9.755,10,45.665,0,0.97,0.97,47,56660,45775,38,41,0,2,6,957,0,0
increased_execution_intensity_2x,itch_calibrated,avellaneda stoikov,high volatility,4002,1,1000,959,39,0,39,0.039,0.039,9.782,10,146.017,0,0.905,0.905,59,69623,43156,37,39,1,2,19,959,0,0
increased_execution_intensity_2x,itch_calibrated,avellaneda stoikov,low volatility,3001,0,1000,958,40,0,40,0.04,0.04,9.748,10,34.482,0,1,1,44,64429,59072,39,40,1,1,3,958,0,0
increased_execution_intensity_2x,itch_calibrated,avellaneda stoikov,low volatility,4001,1,1000,949,49,0,49,0.049,0.049,9.695,10,41.671,0,1,1,52,75540,69114,48,49,0,2,3,949,0,0
increased_execution_intensity_2x,itch_calibrated,avellaneda stoikov,trending,3003,0,1000,958,41,0,41,0.041,0.041,9.767,10,43.023,0,0.994,0.994,45,60863,57206,42,42,0,1,3,958,0,0
increased_execution_intensity_2x,itch_calibrated,avellaneda stoikov,trending,4003,1,1000,955,43,0,43,0.043,0.043,9.777,10,35.815,0,0.994,0.994,46,66312,60648,43,43,0,2,3,955,0,0
increased_execution_intensity_2x,itch_calibrated,naive symmetric,high volatility,3002,0,1000,957,41,0,41,0.041,0.041,9.755,10,50.547,0,0.97,0.97,47,56660,44491,37,41,0,2,6,957,0,0
increased_execution_intensity_2x,itch_calibrated,naive symmetric,high volatility,4002,1,1000,959,39,0,39,0.039,0.039,9.782,10,145.255,0,0.905,0.905,59,69623,43156,37,39,1,2,19,959,0,0
increased_execution_intensity_2x,itch_calibrated,naive symmetric,low volatility,3001,0,1000,958,40,0,40,0.04,0.04,9.748,10,35.429,0,1,1,44,64429,58516,38,40,0,2,4,958,0,0
increased_execution_intensity_2x,itch_calibrated,naive symmetric,low volatility,4001,1,1000,951,47,0,47,0.047,0.047,9.714,10,67.611,0,1,1,52,75540,69114,48,47,2,1,3,951,0,0
increased_execution_intensity_2x,itch_calibrated,naive symmetric,trending,3003,0,1000,959,40,0,40,0.04,0.04,9.773,10,43.783,0,0.994,0.994,45,60863,57206,42,41,1,1,3,959,0,0
increased_execution_intensity_2x,itch_calibrated,naive symmetric,trending,4003,1,1000,956,42,0,42,0.042,0.042,9.783,10,41.693,0,0.994,0.994,46,66312,60648,43,42,1,2,3,956,0,0
increased_execution_intensity_5x,itch_calibrated,avellaneda stoikov,high volatility,3002,0,1000,907,91,1,90,0.091,0.0901,9.505,10,34.587,0,0.998,0.998,99,129215,119476,89,91,0,2,8,907,0,0
increased_execution_intensity_5x,itch_calibrated,avellaneda stoikov,high volatility,4002,1,1000,892,106,1,105,0.106,0.1054,9.468,10,120.529,0,0.965,0.965,139,184305,143441,107,106,3,1,30,892,0,0
increased_execution_intensity_5x,itch_calibrated,avellaneda stoikov,low volatility,3001,0,1000,894,105,0,105,0.105,0.105,9.361,10,11.813,0,1,1,113,159944,145828,105,105,0,1,7,894,0,0
increased_execution_intensity_5x,itch_calibrated,avellaneda stoikov,low volatility,4001,1,1000,900,98,0,98,0.098,0.098,9.457,10,10.281,0,1,1,106,144379,135330,98,98,0,2,8,900,0,0
increased_execution_intensity_5x,itch_calibrated,avellaneda stoikov,trending,3003,0,1000,895,103,1,102,0.103,0.1021,9.436,10,28.756,0,1,1,113,149127,137581,103,104,0,2,9,895,0,0
increased_execution_intensity_5x,itch_calibrated,avellaneda stoikov,trending,4003,1,1000,918,80,0,80,0.08,0.08,9.564,10,56.215,0,1,1,88,120177,106687,80,80,1,2,7,918,0,0
increased_execution_intensity_5x,itch_calibrated,naive symmetric,high volatility,3002,0,1000,907,91,1,90,0.091,0.0901,9.505,10,23.341,0,0.998,0.998,99,129215,119476,89,91,0,2,8,907,0,0
increased_execution_intensity_5x,itch_calibrated,naive symmetric,high volatility,4002,1,1000,894,104,1,103,0.104,0.1034,9.476,10,120.388,0,0.965,0.965,139,184305,140448,104,104,3,1,32,894,0,0
increased_execution_intensity_5x,itch_calibrated,naive symmetric,low volatility,3001,0,1000,895,104,0,104,0.104,0.104,9.362,10,22.562,0,1,1,113,159944,145828,105,104,1,1,7,895,0,0
increased_execution_intensity_5x,itch_calibrated,naive symmetric,low volatility,4001,1,1000,900,98,0,98,0.098,0.098,9.457,10,13.809,0,1,1,106,144379,132852,96,98,0,2,8,900,0,0
increased_execution_intensity_5x,itch_calibrated,naive symmetric,trending,3003,0,1000,895,103,1,102,0.103,0.1021,9.436,10,26.974,0,1,1,113,149127,135054,102,104,0,2,9,895,0,0
increased_execution_intensity_5x,itch_calibrated,naive symmetric,trending,4003,1,1000,918,80,0,80,0.08,0.08,9.564,10,46.221,0,1,1,88,120177,106054,79,80,0,2,8,918,0,0
inventory_cap_5000,hand_chosen,avellaneda stoikov,high volatility,3002,0,1000,499,501,29,472,0.501,0.4856,6.809,9,70.134,0,0.848,0.848,1213,60806,26354,517,524,14,0,674,499,0,0
inventory_cap_5000,hand_chosen,avellaneda stoikov,high volatility,4002,1,1000,438,562,26,536,0.562,0.5458,6.322,8,45.136,0,0.928,0.928,1249,63958,31041,606,596,19,0,634,438,0,0
inventory_cap_5000,hand_chosen,avellaneda stoikov,low volatility,3001,0,1000,255,745,40,705,0.745,0.7255,5.219,5,0,0,1,1,1283,63711,38854,781,781,0,0,502,255,0,0
inventory_cap_5000,hand_chosen,avellaneda stoikov,low volatility,4001,1,1000,243,757,30,727,0.757,0.7426,4.975,4,0,0,1,1,1303,65187,40823,798,798,0,0,503,243,0,0
inventory_cap_5000,hand_chosen,avellaneda stoikov,trending,3003,0,1000,451,549,32,517,0.549,0.5341,6.364,8,59.582,0,0.838,0.838,1266,62785,27568,577,570,10,0,686,451,0,0
inventory_cap_5000,hand_chosen,avellaneda stoikov,trending,4003,1,1000,480,520,30,490,0.52,0.5056,6.651,9,79.236,0,0.823,0.823,1242,63693,27817,543,540,7,0,695,480,0,0
inventory_cap_5000,hand_chosen,naive symmetric,high volatility,3002,0,1000,501,499,25,474,0.499,0.484,6.82,10,71.053,0,0.848,0.848,1213,60806,26328,516,521,13,0,678,501,0,0
inventory_cap_5000,hand_chosen,naive symmetric,high volatility,4002,1,1000,442,558,25,533,0.558,0.5425,6.348,8,43.177,0,0.928,0.928,1249,63958,30591,595,592,13,0,644,442,0,0
inventory_cap_5000,hand_chosen,naive symmetric,low volatility,3001,0,1000,255,745,40,705,0.745,0.7255,5.219,5,0,0,1,1,1283,63711,38854,781,781,0,0,502,255,0,0
inventory_cap_5000,hand_chosen,naive symmetric,low volatility,4001,1,1000,243,757,30,727,0.757,0.7426,4.975,4,0.008,0,1,1,1303,65187,40823,798,798,0,0,503,243,0,0
inventory_cap_5000,hand_chosen,naive symmetric,trending,3003,0,1000,454,546,32,514,0.546,0.5311,6.393,8,60.516,0,0.838,0.838,1266,62785,27737,582,567,18,0,681,454,0,0
inventory_cap_5000,hand_chosen,naive symmetric,trending,4003,1,1000,482,518,30,488,0.518,0.5036,6.672,9,81.278,0,0.823,0.823,1242,63693,27687,541,538,9,0,695,482,0,0
itch_calibrated_flow,itch_calibrated,avellaneda stoikov,high volatility,3002,0,1000,981,18,0,18,0.018,0.018,9.916,10,42.418,0,0.982,0.982,20,24277,21226,16,18,0,1,2,981,0,0
itch_calibrated_flow,itch_calibrated,avellaneda stoikov,high volatility,4002,1,1000,977,21,0,21,0.021,0.021,9.864,10,162.511,0,0.925,0.925,29,36004,25924,20,21,0,1,8,977,0,0
itch_calibrated_flow,itch_calibrated,avellaneda stoikov,low volatility,3001,0,1000,978,20,0,20,0.02,0.02,9.901,10,37.518,0,1,1,24,37659,31274,20,20,0,2,4,978,0,0
itch_calibrated_flow,itch_calibrated,avellaneda stoikov,low volatility,4001,1,1000,976,22,0,22,0.022,0.022,9.873,10,91.984,0,1,1,24,36378,34951,23,22,1,1,1,976,0,0
itch_calibrated_flow,itch_calibrated,avellaneda stoikov,trending,3003,0,1000,975,23,0,23,0.023,0.023,9.866,10,46.633,0,0.998,0.998,25,34205,33440,24,24,0,2,1,975,0,0
itch_calibrated_flow,itch_calibrated,avellaneda stoikov,trending,4003,1,1000,977,21,0,21,0.021,0.021,9.893,10,53.139,0,0.996,0.996,21,28661,25042,19,21,0,2,0,977,0,0
itch_calibrated_flow,itch_calibrated,naive symmetric,high volatility,3002,0,1000,981,18,0,18,0.018,0.018,9.916,10,67.188,0,0.982,0.982,20,24277,21226,16,18,0,0,2,981,0,0
itch_calibrated_flow,itch_calibrated,naive symmetric,high volatility,4002,1,1000,977,21,0,21,0.021,0.021,9.864,10,185.542,0,0.925,0.925,29,36004,25924,20,21,0,1,8,977,0,0
itch_calibrated_flow,itch_calibrated,naive symmetric,low volatility,3001,0,1000,978,20,0,20,0.02,0.02,9.901,10,46.976,0,1,1,24,37659,31274,20,20,0,2,4,978,0,0
itch_calibrated_flow,itch_calibrated,naive symmetric,low volatility,4001,1,1000,976,22,0,22,0.022,0.022,9.873,10,137.382,0,1,1,24,36378,34258,22,22,0,1,2,976,0,0
itch_calibrated_flow,itch_calibrated,naive symmetric,trending,3003,0,1000,975,23,0,23,0.023,0.023,9.866,10,53.912,0,0.998,0.998,25,34205,32643,23,24,0,2,1,975,0,0
itch_calibrated_flow,itch_calibrated,naive symmetric,trending,4003,1,1000,977,21,0,21,0.021,0.021,9.893,10,61.954,0,0.996,0.996,21,28661,25042,19,21,0,2,0,977,0,0
quote_size_1,itch_calibrated,avellaneda stoikov,high volatility,3002,0,1000,981,18,0,18,0.018,0.018,9.916,10,38.856,0,0.982,0.982,20,24277,21226,16,18,0,1,2,981,0,0
quote_size_1,itch_calibrated,avellaneda stoikov,high volatility,4002,1,1000,977,21,0,21,0.021,0.021,9.864,10,158.945,0,0.925,0.925,29,36004,25924,20,21,0,1,8,977,0,0
quote_size_1,itch_calibrated,avellaneda stoikov,low volatility,3001,0,1000,978,20,0,20,0.02,0.02,9.901,10,37.077,0,1,1,24,37659,31274,20,20,0,2,4,978,0,0
quote_size_1,itch_calibrated,avellaneda stoikov,low volatility,4001,1,1000,976,22,0,22,0.022,0.022,9.873,10,91.939,0,1,1,24,36378,34951,23,22,1,1,1,976,0,0
quote_size_1,itch_calibrated,avellaneda stoikov,trending,3003,0,1000,975,23,0,23,0.023,0.023,9.866,10,46.624,0,0.998,0.998,25,34205,31915,23,23,0,2,2,975,0,0
quote_size_1,itch_calibrated,avellaneda stoikov,trending,4003,1,1000,977,21,0,21,0.021,0.021,9.893,10,53.139,0,0.996,0.996,21,28661,25042,19,21,0,2,0,977,0,0
quote_size_1,itch_calibrated,naive symmetric,high volatility,3002,0,1000,981,18,0,18,0.018,0.018,9.916,10,67.179,0,0.982,0.982,20,24277,21226,16,18,0,0,2,981,0,0
quote_size_1,itch_calibrated,naive symmetric,high volatility,4002,1,1000,977,21,0,21,0.021,0.021,9.864,10,185.479,0,0.925,0.925,29,36004,25924,20,21,0,1,8,977,0,0
quote_size_1,itch_calibrated,naive symmetric,low volatility,3001,0,1000,978,20,0,20,0.02,0.02,9.901,10,46.967,0,1,1,24,37659,31274,20,20,0,2,4,978,0,0
quote_size_1,itch_calibrated,naive symmetric,low volatility,4001,1,1000,976,22,0,22,0.022,0.022,9.873,10,137.274,0,1,1,24,36378,34258,22,22,0,1,2,976,0,0
quote_size_1,itch_calibrated,naive symmetric,trending,3003,0,1000,975,23,0,23,0.023,0.023,9.866,10,53.885,0,0.998,0.998,25,34205,31118,22,23,0,2,2,975,0,0
quote_size_1,itch_calibrated,naive symmetric,trending,4003,1,1000,977,21,0,21,0.021,0.021,9.893,10,61.954,0,0.996,0.996,21,28661,25042,19,21,0,2,0,977,0,0
quote_size_10,itch_calibrated,avellaneda stoikov,high volatility,3002,0,1000,981,18,0,18,0.018,0.018,9.916,10,42.418,0,0.982,0.982,20,24277,21226,16,18,0,1,2,981,0,0
quote_size_10,itch_calibrated,avellaneda stoikov,high volatility,4002,1,1000,977,21,0,21,0.021,0.021,9.864,10,162.511,0,0.925,0.925,29,36004,25924,20,21,0,1,8,977,0,0
quote_size_10,itch_calibrated,avellaneda stoikov,low volatility,3001,0,1000,978,20,0,20,0.02,0.02,9.901,10,37.518,0,1,1,24,37659,31274,20,20,0,2,4,978,0,0
quote_size_10,itch_calibrated,avellaneda stoikov,low volatility,4001,1,1000,976,22,0,22,0.022,0.022,9.873,10,91.984,0,1,1,24,36378,34951,23,22,1,1,1,976,0,0
quote_size_10,itch_calibrated,avellaneda stoikov,trending,3003,0,1000,975,23,0,23,0.023,0.023,9.866,10,46.633,0,0.998,0.998,25,34205,33440,24,24,0,2,1,975,0,0
quote_size_10,itch_calibrated,avellaneda stoikov,trending,4003,1,1000,977,21,0,21,0.021,0.021,9.893,10,53.139,0,0.996,0.996,21,28661,25042,19,21,0,2,0,977,0,0
quote_size_10,itch_calibrated,naive symmetric,high volatility,3002,0,1000,981,18,0,18,0.018,0.018,9.916,10,67.188,0,0.982,0.982,20,24277,21226,16,18,0,0,2,981,0,0
quote_size_10,itch_calibrated,naive symmetric,high volatility,4002,1,1000,977,21,0,21,0.021,0.021,9.864,10,185.542,0,0.925,0.925,29,36004,25924,20,21,0,1,8,977,0,0
quote_size_10,itch_calibrated,naive symmetric,low volatility,3001,0,1000,978,20,0,20,0.02,0.02,9.901,10,46.976,0,1,1,24,37659,31274,20,20,0,2,4,978,0,0
quote_size_10,itch_calibrated,naive symmetric,low volatility,4001,1,1000,976,22,0,22,0.022,0.022,9.873,10,137.382,0,1,1,24,36378,34258,22,22,0,1,2,976,0,0
quote_size_10,itch_calibrated,naive symmetric,trending,3003,0,1000,975,23,0,23,0.023,0.023,9.866,10,53.912,0,0.998,0.998,25,34205,32643,23,24,0,2,1,975,0,0
quote_size_10,itch_calibrated,naive symmetric,trending,4003,1,1000,977,21,0,21,0.021,0.021,9.893,10,61.954,0,0.996,0.996,21,28661,25042,19,21,0,2,0,977,0,0
quote_size_100,itch_calibrated,avellaneda stoikov,high volatility,3002,0,1000,981,18,1,17,0.018,0.01786,9.916,10,44.621,0,0.98,0.98,20,24277,20251,15,18,0,1,2,981,0,0
quote_size_100,itch_calibrated,avellaneda stoikov,high volatility,4002,1,1000,977,21,0,21,0.021,0.021,9.864,10,185.604,0,0.925,0.925,29,36004,25924,20,21,0,1,8,977,0,0
quote_size_100,itch_calibrated,avellaneda stoikov,low volatility,3001,0,1000,978,20,1,19,0.02,0.01961,9.901,10,39.666,0,1,1,24,37659,31274,20,20,0,2,4,978,0,0
quote_size_100,itch_calibrated,avellaneda stoikov,low volatility,4001,1,1000,976,22,0,22,0.022,0.022,9.873,10,94.082,0,1,1,24,36378,34951,23,22,1,1,1,976,0,0
quote_size_100,itch_calibrated,avellaneda stoikov,trending,3003,0,1000,975,23,1,22,0.023,0.02259,9.866,10,45.741,0,0.998,0.998,25,34205,33440,24,24,0,2,1,975,0,0
quote_size_100,itch_calibrated,avellaneda stoikov,trending,4003,1,1000,977,21,0,21,0.021,0.021,9.893,10,56.023,0,0.996,0.996,21,28661,25042,19,21,0,2,0,977,0,0
